"name","id","nametype","recclass","mass_g","fall","year","reclat","reclong","GeoLocation"
"Burnwell",5175,"Valid","H4-an",1504,"Fell",1990,37.62194,-82.23722,"(37.62194, -82.23722)"
"Vernon County",24168,"Valid","H6",1500,"Fell",1865,43.5,-91.16667,"(43.5, -91.16667)"
"Blackwater Draw",5067,"Valid","H4",1500,"Found",1979,34.20583,-103.22222,"(34.20583, -103.22222)"
"Cincinnati",5366,"Valid","Iron, IIAB",1500,"Found",1870,39.11667,-84.5,"(39.11667, -84.5)"
"Iredell",12046,"Valid","Iron, IIAB",1500,"Found",1898,31.96667,-97.86667,"(31.96667, -97.86667)"
"Nazareth (d)",16931,"Valid","H6",1500,"Found",1968,34.58333,-102.08333,"(34.58333, -102.08333)"
"Surprise Springs",23761,"Valid","Iron, IAB-sLL",1500,"Found",1899,34.16667,-115.91667,"(34.16667, -115.91667)"
"Tomhannock Creek",24022,"Valid","H5",1500,"Found",1863,42.88333,-73.6,"(42.88333, -73.6)"
"Meadow (a)",15465,"Valid","H5",1495,"Found",1975,33.33139,-102.26889,"(33.33139, -102.26889)"
"Cave Creek",5299,"Valid","H4",1492,"Found",1992,31.7045,-110.77917,"(31.7045, -110.77917)"
"Palo Blanco Creek",18080,"Valid","Eucrite-mmict",1482,"Found",1954,36.5,-104.5,"(36.5, -104.5)"
"Lubbock",14722,"Valid","L5",1457.8,"Found",1938,33.6,-101.73333,"(33.6, -101.73333)"
"Claxton",5374,"Valid","L6",1455,"Fell",1984,32.1025,-81.87278,"(32.1025, -81.87278)"
"Maryville",15436,"Valid","L6",1443,"Fell",1983,35.8,-84.1,"(35.8, -84.1)"
"York (stone)",30368,"Valid","L6",1440,"Found",1928,40.86667,-97.6,"(40.86667, -97.6)"
"Iron River",12048,"Valid","Iron, IVA",1420,"Found",1889,46.07944,-88.55972,"(46.07944, -88.55972)"
"Mereta",15488,"Valid","H4",1417.5,"Found",1941,31.42611,-100.13333,"(31.42611, -100.13333)"
"Allen",2277,"Valid","H4",1407,"Found",1923,33.1,-96.7,"(33.1, -96.7)"
"Canon City",5253,"Valid","H6",1400,"Fell",1973,38.47028,-105.24139,"(38.47028, -105.24139)"
"Correo",5447,"Valid","H4",1400,"Found",1979,34.95,-107.16667,"(34.95, -107.16667)"
"Lonaconing",14680,"Valid","Iron, IAB-sHL",1400,"Found",1888,39.41667,-79.15,"(39.41667, -79.15)"
"Morrill",16749,"Valid","Iron, IAB-an",1387,"Found",1920,42.18333,-103.93333,"(42.18333, -103.93333)"
"Atoka",4888,"Valid","L6",1384.2,"Fell",1945,34.31667,-96.15,"(34.31667, -96.15)"
"Overland Park",18056,"Valid","H4",1374,"Found",1998,38.96667,-94.66667,"(38.96667, -94.66667)"
"Coyote Dry Lake 115",30466,"Valid","H5-6",1369,"Found",1999,35.05865,-116.76872,"(35.05865, -116.76872)"
"Kackley",45966,"Valid","H4",1368,"Found",2006,39.71633,-97.8545,"(39.71633, -97.8545)"
"Coyote Dry Lake 064",30461,"Valid","H5",1364.31,"Found",1999,35.05817,-116.7743,"(35.05817, -116.7743)"
"Caswell County",5296,"Valid","OC",1360,"Fell",1810,36.5,-79.25,"(36.5, -79.25)"
"Panhandle",18096,"Valid","H5",1360,"Found",1969,35.33333,-101.38333,"(35.33333, -101.38333)"
"Phillips County (pallasite)",18807,"Valid","Pallasite, PMG-an",1360,"Found",1935,40.45,-102.38333,"(40.45, -102.38333)"
"Wild Horse",24264,"Valid","H5",1360,"Found",1979,39.41667,-103.2,"(39.41667, -103.2)"
"Sandy Creek",23158,"Valid","L5",1330,"Found",1999,40.43333,-98.06667,"(40.43333, -98.06667)"
"Logan",14677,"Valid","H5",1315,"Found",1918,36.58333,-100.2,"(36.58333, -100.2)"
"Majuba 003",30754,"Valid","H4",1306,"Found",2003,40.63078,-118.40918,"(40.63078, -118.40918)"
"Octave Mine",35633,"Valid","H5",1304.2,"Found",2004,34.13228,-112.70225,"(34.13228, -112.70225)"
"Jonah",12200,"Valid","H5",1304,"Found",1963,30.625,-97.53333,"(30.625, -97.53333)"
"Louisville",14716,"Valid","L6",1300,"Fell",1977,38.25,-85.75,"(38.25, -85.75)"
"Bowesmont (b)",5125,"Valid","L5",1300,"Found",1972,48.78333,-97.35,"(48.78333, -97.35)"
"Hangman Crossing",11816,"Valid","H4",1300,"Found",1976,38.91972,-85.94722,"(38.91972, -85.94722)"
"Sublette",23735,"Valid","L6",1300,"Found",1952,37.5,-100.83333,"(37.5, -100.83333)"
"Waldo",24202,"Valid","L6",1300,"Found",1937,39.1,-98.83333,"(39.1, -98.83333)"
"Sharps",23525,"Valid","H3.4",1265,"Fell",1921,37.83333,-76.7,"(37.83333, -76.7)"
"Ballinger",4930,"Valid","Iron, IAB-MG",1250,"Found",1927,31.76667,-99.98333,"(31.76667, -99.98333)"
"Plainview (e)",54437,"Valid","H5",1250,"Found",2010,34.18513,-101.70558,"(34.18513, -101.70558)"
"Starvation Flat",44800,"Valid","L5",1250,"Found",2002,36.7845,-114.94967,"(36.7845, -114.94967)"
"Delphos (a)",6645,"Valid","L4",1244.7,"Found",1968,34.08333,-103.525,"(34.08333, -103.525)"
"Bushnell",5180,"Valid","H4",1240,"Found",1939,41.23333,-103.9,"(41.23333, -103.9)"
"Lick Creek",14647,"Valid","Iron, IIAB",1240,"Found",1879,35.66667,-80.25,"(35.66667, -80.25)"
"Lakeview",12449,"Valid","H4",1238,"Found",1970,34.53333,-101.7,"(34.53333, -101.7)"
"Toulon",24035,"Valid","H5",1214.5,"Found",1962,41.11667,-89.80833,"(41.11667, -89.80833)"
"Gahanna",10842,"Valid","Iron, IAB-MG",1201,"Found",1950,40.01667,-82.86667,"(40.01667, -82.86667)"
"Hart Camp",11846,"Valid","H6",1200,"Found",1970,33.99833,-102.17667,"(33.99833, -102.17667)"
"Sand Draw",23134,"Valid","H5",1200,"Found",1947,40.81667,-102.25,"(40.81667, -102.25)"
"Suwanee Spring",23768,"Valid","L5",1200,"Found",1979,34.95,-107.16667,"(34.95, -107.16667)"
"Seminole Draw (b)",23494,"Valid","H5",1192.7,"Found",1976,32.71667,-102.65,"(32.71667, -102.65)"
"Seminole (b)",23489,"Valid","H4",1184,"Found",1965,32.54333,-102.705,"(32.54333, -102.705)"
"Cotesfield",5454,"Valid","L6",1160,"Found",1928,41.36667,-98.63333,"(41.36667, -98.63333)"
"Snyder Hill",23658,"Valid","L5",1160,"Found",1994,32.15833,-111.11333,"(32.15833, -111.11333)"
"Dougherty",7724,"Valid","L6",1113,"Found",2002,33.97917,-101.2,"(33.97917, -101.2)"
"Anoka",2307,"Valid","Iron, IAB-sLM",1108,"Found",1961,45.2,-93.43333,"(45.2, -93.43333)"
"Karval",12265,"Valid","H5",1104,"Found",1936,38.71667,-103.51667,"(38.71667, -103.51667)"
"Boerne",5095,"Valid","H6",1100,"Found",1932,29.8,-98.8,"(29.8, -98.8)"
"Guilford County",11444,"Valid","Iron, IIIAB",1100,"Found",1822,35.56667,-79.83333,"(35.56667, -79.83333)"
"McAddo",15457,"Valid","L6",1100,"Found",1935,33.75,-100.93333,"(33.75, -100.93333)"
"Slaton",23625,"Valid","L4",1070,"Found",1941,33.43333,-101.75,"(33.43333, -101.75)"
"Powell Peak 002",54526,"Valid","L4",1062,"Found",2008,34.7049,-114.34572,"(34.7049, -114.34572)"
"Norfork",16994,"Valid","Iron, IIIAB",1050,"Fell",1918,36.21667,-92.26667,"(36.21667, -92.26667)"
"Akron (1940)",430,"Valid","H6",1050,"Found",1940,40.15,-103.16667,"(40.15, -103.16667)"
"Clareton",5371,"Valid","L6",1050,"Found",1931,43.7,-104.7,"(43.7, -104.7)"
"Haviland (a)",11860,"Valid","H5",1035,"Found",1937,37.61667,-99.1,"(37.61667, -99.1)"
"Ceniceros",5306,"Valid","L3.7",1025,"Fell",1988,26.46667,-105.23333,"(26.46667, -105.23333)"
"Troup",24054,"Valid","L6",1020,"Fell",1917,32.16667,-95.1,"(32.16667, -95.1)"
"Venus",24160,"Valid","H4",1013,"Found",1960,32.4,-97.08333,"(32.4, -97.08333)"
"Rio Rancho",55670,"Valid","L6",1001,"Found",2011,35.3,-106.63333,"(35.3, -106.63333)"
"St. Louis",23089,"Valid","H4",1000,"Fell",1950,38.7,-90.23333,"(38.7, -90.23333)"
"Aurora",4901,"Valid","H4",1000,"Found",1938,36.33333,-105.05,"(36.33333, -105.05)"
"Okechobee",18001,"Valid","L4",1000,"Found",1916,26.68333,-80.8,"(26.68333, -80.8)"
"Sierra County",23589,"Valid","H5",1000,"Found",1962,33,-107.5,"(33.0, -107.5)"
"Summit",23744,"Valid","Iron, IIAB",1000,"Found",1890,34.2,-86.48333,"(34.2, -86.48333)"
"Ute Creek",24134,"Valid","H4",1000,"Found",1936,36.2,-103.9,"(36.2, -103.9)"
"Sutter's Mill",55529,"Valid","C",992.5,"Fell",2012,38.80389,-120.90806,"(38.80389, -120.90806)"
"Arch",2327,"Valid","CV3",985.8,"Found",1972,34.15,-103.22,"(34.15, -103.22)"
"Spruce 001",56165,"Valid","L5",983,"Found",2011,40.801,-114.701,"(40.801, -114.701)"
"Rogers",22645,"Valid","L",982,"Found",1974,34.065,-103.40833,"(34.065, -103.40833)"
"Bronco",5147,"Valid","OC",972,"Found",1971,33.28333,-102.96667,"(33.28333, -102.96667)"
"Miller (Kansas)",16646,"Valid","H4",970,"Found",1950,38.625,-96.02278,"(38.625, -96.02278)"
"Hart",56555,"Valid","CK3",966,"Found",2010,34.37718,-102.11672,"(34.37718, -102.11672)"
"Berthoud",47355,"Valid","Eucrite-mmict",960,"Fell",2004,40.30583,-105.02325,"(40.30583, -105.02325)"
"Wellman (e)",24241,"Valid","H4",959,"Found",1973,33.67833,-102.315,"(33.67833, -102.315)"
"Aiken",421,"Valid","OC",956,"Found",1936,34.2,-101.5,"(34.2, -101.5)"
"Olton",18016,"Valid","H3.5",953,"Found",1948,34.16722,-102.13361,"(34.16722, -102.13361)"
"Elida (a)",10014,"Valid","L6",936.8,"Found",1968,33.78333,-103.57667,"(33.78333, -103.57667)"
"Grier (b)",11203,"Valid","L5-7",929.4,"Found",1969,34.26667,-103.38333,"(34.26667, -103.38333)"
"Brady",5129,"Valid","L6",927,"Found",1937,31.05,-99.46667,"(31.05, -99.46667)"
"Beaver-Harrison",4987,"Valid","L6",925,"Found",1979,38.48417,-113.13639,"(38.48417, -113.13639)"
"Pricetown",18888,"Valid","L6",900,"Fell",1893,39.11667,-83.85,"(39.11667, -83.85)"
"Mount Ouray",16784,"Valid","Iron, IID",900,"Found",1898,38.41667,-106.21667,"(38.41667, -106.21667)"
"Leslie",12771,"Valid","H5",895,"Found",1968,34.61139,-100.855,"(34.61139, -100.855)"
"Sacramento Wash 002",34066,"Valid","H4",892.8,"Found",2004,34.75635,-114.2343,"(34.75635, -114.2343)"
"Newsom",16963,"Valid","L6",892,"Found",1939,37.6,-105.83333,"(37.6, -105.83333)"
"Delphos (c)",6647,"Valid","L5",885,"Found",1977,34.05,-103.63333,"(34.05, -103.63333)"
"Happy (c)",11820,"Valid","OC",884.3,"Found",1971,34.58333,-102.05,"(34.58333, -102.05)"
"Roosevelt County 004",22659,"Valid","L6",882,"Found",1977,34.08333,-103.5,"(34.08333, -103.5)"
"Independence",12028,"Valid","L6",880,"Fell",1917,39.08333,-94.4,"(39.08333, -94.4)"
"Leighton",12760,"Valid","H5",877,"Fell",1907,34.58333,-87.5,"(34.58333, -87.5)"
"Salt Lake City",23112,"Valid","H5",875,"Found",1869,40.91667,-111.66667,"(40.91667, -111.66667)"
"Loop (c)",14704,"Valid","OC",861,"Found",1964,32.98333,-102.38833,"(32.98333, -102.38833)"
"Luray",14758,"Valid","OC",861,"Found",1976,39.11667,-98.68333,"(39.11667, -98.68333)"
"Canyon",5255,"Valid","H?",860,"Found",1957,34.96667,-101.93333,"(34.96667, -101.93333)"
"Ovid (b)",31283,"Valid","H5",860,"Found",1943,40.75833,-102.375,"(40.75833, -102.375)"
"Tierra Blanca",23988,"Valid","Winonaite",860,"Found",1965,34.93333,-102.01667,"(34.93333, -102.01667)"
"Buck Mountains 005",55334,"Valid","L6",859.7,"Found",2007,34.70337,-114.19097,"(34.70337, -114.19097)"
"Rosamond Dry Lake",22764,"Valid","L",850,"Found",1940,34.83333,-118.06667,"(34.83333, -118.06667)"
"Trilby Wash",35339,"Valid","L4",846,"Found",2005,33.91667,-112.55,"(33.91667, -112.55)"
"Ottawa",18046,"Valid","LL6",840,"Fell",1896,38.6,-95.21667,"(38.6, -95.21667)"
"York (iron)",30367,"Valid","Iron, IIIAB",835,"Found",1878,40.75,-97.5,"(40.75, -97.5)"
"Lockney",14672,"Valid","L6",824,"Found",1944,34.15,-101.3,"(34.15, -101.3)"
"Tokio (b)",24017,"Valid","OC",823,"Found",1974,33.205,-102.65833,"(33.205, -102.65833)"
"Cope (b)",5441,"Valid","H5",817,"Found",1967,39.68333,-102.845,"(39.68333, -102.845)"
"Techado",23892,"Valid","Iron, IIE",810,"Found",1983,34.53333,-108.35,"(34.53333, -108.35)"
"Asheville",2347,"Valid","Iron, IIIAB",800,"Found",1839,35.58333,-82.53333,"(35.58333, -82.53333)"
"Black Mountain",5066,"Valid","Iron, IAB-MG",800,"Found",1839,35.58333,-82.35,"(35.58333, -82.35)"
"Cottonwood",5455,"Valid","H5",800,"Found",1955,34.83333,-112.01667,"(34.83333, -112.01667)"
"Lac Dodon",12409,"Valid","Iron, IAB complex",800,"Found",1993,45.95,-73.91667,"(45.95, -73.91667)"
"Lafayette (stone)",12412,"Valid","Martian (nakhlite)",800,"Found",1931,40.41667,-86.88333,"(40.41667, -86.88333)"
"New Lynn",16956,"Valid","L6",800,"Found",1986,33.17,-101.63833,"(33.17, -101.63833)"
"Point of Rocks (stone)",18856,"Valid","L6",800,"Found",1954,36.5,-104.5,"(36.5, -104.5)"
"Willard (a)",24270,"Valid","L6",800,"Found",1978,34.43333,-105.78333,"(34.43333, -105.78333)"
"Buck Mountain Wash",30446,"Valid","H3-5",798,"Found",2004,34.72453,-114.20883,"(34.72453, -114.20883)"
"Golden Rule",10942,"Valid","L5",797.6,"Found",1999,35.87333,-114.2,"(35.87333, -114.2)"
"Keystone Lake",57290,"Valid","L5",787,"Found",2003,36.28402,-96.43701,"(36.28402, -96.43701)"
"Deming",55792,"Valid","H5",784,"Found",2009,32.22548,-107.90459,"(32.22548, -107.90459)"
"Kilbourn",12308,"Valid","H5",772,"Fell",1911,43.58333,-89.6,"(43.58333, -89.6)"
"Imlay",52855,"Valid","L5",770,"Found",2009,40.74018,-118.17285,"(40.74018, -118.17285)"
"Enon",10037,"Valid","Iron, ungrouped",763,"Found",1883,39.86667,-83.95,"(39.86667, -83.95)"
"Bradford Woods",5128,"Valid","L",762,"Fell",1886,40.5,-80.08333,"(40.5, -80.08333)"
"Leander",12753,"Valid","L4",760,"Found",1940,30.6,-97.9,"(30.6, -97.9)"
"Seminole (e)",23492,"Valid","H5",758.2,"Found",1977,32.71667,-102.65,"(32.71667, -102.65)"
"Dos Cabezas",7721,"Valid","L5",755,"Found",1998,32.295,-109.67,"(32.295, -109.67)"
"Antelope",57455,"Valid","H4",754,"Found",2012,40.90183,-118.54465,"(40.90183, -118.54465)"
"Mangum",55331,"Valid","H4",750,"Found",2008,34.849,-99.704,"(34.849, -99.704)"
"Seguin",23478,"Valid","H6",750,"Found",1956,39.36667,-100.63333,"(39.36667, -100.63333)"
"Elizabeth",56566,"Valid","Iron, IAB-ung",732,"Found",NA,42.318,-90.221,"(42.318, -90.221)"
"Roosevelt County 080",22735,"Valid","H6",727.8,"Found",1968,34.05,-103.5,"(34.05, -103.5)"
"Paulding County",18172,"Valid","Iron",725,"Found",1901,34,-84.8,"(34.0, -84.8)"
"Casey County",5286,"Valid","Iron, IAB-MG",723,"Found",1877,37.25,-85,"(37.25, -85.0)"
"Cortez",5449,"Valid","H6",715.6,"Found",1940,37.35,-108.68333,"(37.35, -108.68333)"
"Black Moshannan Park",5065,"Valid","L5",705,"Fell",1941,40.91667,-78.08333,"(40.91667, -78.08333)"
"Plainview (d)",18844,"Valid","L6",700,"Found",1979,34.1875,-101.70417,"(34.1875, -101.70417)"
"Chocolate Mountains",52013,"Valid","Ureilite",699,"Found",2004,33.01222,-114.86667,"(33.01222, -114.86667)"
"Moapa Valley",48952,"Valid","CM1",698.8,"Found",2004,36.55722,-114.42694,"(36.55722, -114.42694)"
"Hale Center (no. 2)",11478,"Valid","H4",695,"Found",1936,34.05,-101.75,"(34.05, -101.75)"
"Meadow (b)",15466,"Valid","L6",691,"Found",1981,33.33139,-102.26889,"(33.33139, -102.26889)"
"Pedernales",34062,"Valid","Iron, IAB complex",691,"Found",1980,30.33333,-98.95,"(30.33333, -98.95)"
"Georgetown",10904,"Valid","H6",687,"Found",1967,39.7,-105.7,"(39.7, -105.7)"
"Elbert",7822,"Valid","LL6",680.5,"Fell",1998,39.24667,-104.58817,"(39.24667, -104.58817)"
"Harrison County",11842,"Valid","L6",680,"Fell",1859,38.25,-86.16667,"(38.25, -86.16667)"
"Sterling",23723,"Valid","Pallasite",679.5,"Found",1900,40.6,-103.18333,"(40.6, -103.18333)"
"Mount Morris (Wisconsin)",16783,"Valid","Iron, IAB-an",676,"Found",1937,44,-89.25,"(44.0, -89.25)"
"Naruna (a)",16916,"Valid","H4",672.3,"Found",1935,30.95,-98.26667,"(30.95, -98.26667)"
"Rich Mountain",22597,"Valid","L6",668,"Fell",1903,35.03333,-83.03333,"(35.03333, -83.03333)"
"Greenwell Springs",11195,"Valid","LL4",664,"Found",1987,30.51528,-91.01222,"(30.51528, -91.01222)"
"Ness County (1938)",16947,"Valid","H4",652,"Found",1938,38.48333,-99.91667,"(38.48333, -99.91667)"
"Frankfort (stone)",10177,"Valid","Howardite",650,"Fell",1868,34.48333,-87.83333,"(34.48333, -87.83333)"
"Taiban (b)",23786,"Valid","LL6",641,"Found",1984,34.45,-104.01667,"(34.45, -104.01667)"
"Seminole (g)",55293,"Valid","H5",640.4,"Found",1999,32.71667,-102.65,"(32.71667, -102.65)"
"Lasher Creek",12735,"Valid","Iron",639.5,"Found",1948,42.83333,-74.5,"(42.83333, -74.5)"
"Plainview (c)",18843,"Valid","OC",631,"Found",1963,34.125,-101.75667,"(34.125, -101.75667)"
"El Carmen",7795,"Valid","H6",629,"Found",1987,26.86667,-105.23333,"(26.86667, -105.23333)"
"Pelona Mountain",18785,"Valid","H5",618,"Found",1999,33.66667,-108.1,"(33.66667, -108.1)"
"Lorenzo",44717,"Valid","L5",611.9,"Found",1941,41.03333,-102.88333,"(41.03333, -102.88333)"
"Baxter",4977,"Valid","L6",611,"Fell",1916,36.75,-93.5,"(36.75, -93.5)"
"Hale Center (no. 1)",11477,"Valid","L5",610,"Found",1936,34.05,-101.75,"(34.05, -101.75)"
"Torreon de Mata",24031,"Valid","L6",610,"Found",1983,26.83333,-105.41667,"(26.83333, -105.41667)"
"Oasis State Park",17974,"Valid","OC",606,"Found",1968,34.22833,-103.35833,"(34.22833, -103.35833)"
"Deport (a)",6663,"Valid","H4",604,"Found",1944,33.51667,-95.3,"(33.51667, -95.3)"
"Pittsburg",18838,"Valid","Iron, IAB-MG",600,"Found",1850,40.43333,-80,"(40.43333, -80.0)"
"El Mirage",7809,"Valid","Iron, IIAB",598,"Found",1972,33.68333,-112.26667,"(33.68333, -112.26667)"
"Portales (b)",18872,"Valid","L6",595.8,"Found",1967,34.06667,-103.5,"(34.06667, -103.5)"
"Pep",18791,"Valid","OC",591,"Found",1966,33.73,-102.57667,"(33.73, -102.57667)"
"Mohawk",34059,"Valid","Iron, IAB complex",586,"Found",2000,32.73,-113.71,"(32.73, -113.71)"
"Elkhart",10017,"Valid","H5",573,"Found",1936,37.01667,-101.88333,"(37.01667, -101.88333)"
"Horse Creek",11910,"Valid","Iron, ungrouped",570,"Found",1937,37.58333,-102.76667,"(37.58333, -102.76667)"
"Cushing",5499,"Valid","H4",567,"Found",1932,35.96667,-96.76667,"(35.96667, -96.76667)"
"De Kalb",6623,"Valid","H",566,"Found",1969,39.59167,-94.92194,"(39.59167, -94.92194)"
"Wathena",24220,"Valid","Iron, IIAB",566,"Found",1939,39.81667,-94.91667,"(39.81667, -94.91667)"
"Aubrey Hills",56393,"Valid","H6",560.8,"Found",2010,34.38063,-114.16705,"(34.38063, -114.16705)"
"Willow Wash",47353,"Valid","H3.5",552,"Found",2006,35.37358,-115.34388,"(35.37358, -115.34388)"
"Delphos (b)",6646,"Valid","OC",548,"Found",1968,34.09,-103.61167,"(34.09, -103.61167)"
